rules,support,confidence,lift,count
{Ditan} => {Lama Temple},0.03,1,25,3
{Lama Temple} => {Ditan},0.03,0.75,25,3
{Ditan} => {Temple of Heaven},0.03,1,16.66666667,3
{Temple of Heaven} => {Ditan},0.03,0.5,16.66666667,3
{Ditan} => {Houhai},0.03,1,11.11111111,3
{Houhai} => {Ditan},0.03,0.333333333,11.11111111,3
{Wangfujing Street} => {Tiananmen Square},0.03,0.6,2.857142857,3
{Lama Temple} => {Temple of Heaven},0.03,0.75,12.5,3
{Temple of Heaven} => {Lama Temple},0.03,0.5,12.5,3
{Lama Temple} => {Houhai},0.03,0.75,8.333333333,3
{Houhai} => {Lama Temple},0.03,0.333333333,8.333333333,3
{Shichahai} => {Beihai Park},0.03,0.6,10,3
{Beihai Park} => {Shichahai},0.03,0.5,10,3
{Temple of Heaven} => {Houhai},0.03,0.5,5.555555556,3
{Houhai} => {Temple of Heaven},0.03,0.333333333,5.555555556,3
{Wangfujing} => {Jingshan Park},0.04,0.571428571,3.80952381,4
{Jingshan Park} => {Wangfujing},0.04,0.266666667,3.80952381,4
{Wangfujing} => {Forbidden City},0.03,0.428571429,2.521008403,3
{Wangfujing} => {Tiananmen Square},0.04,0.571428571,2.721088435,4
{Yantai Xiejie} => {Houhai},0.03,0.6,6.666666667,3
{Houhai} => {Yantai Xiejie},0.03,0.333333333,6.666666667,3
{Yantai Xiejie} => {Nanluoguxiang},0.03,0.6,3.75,3
{Beihai Park} => {Nanluoguxiang},0.03,0.5,3.125,3
{Tsinghua University} => {Peking University},0.07,0.7,5.384615385,7
{Peking University} => {Tsinghua University},0.07,0.538461538,5.384615385,7
{Tsinghua University} => {Yuanmingyuan},0.07,0.7,4.666666667,7
{Yuanmingyuan} => {Tsinghua University},0.07,0.466666667,4.666666667,7
{Tsinghua University} => {Summer Palace},0.06,0.6,3.75,6
{Summer Palace} => {Tsinghua University},0.06,0.375,3.75,6
{Chairman Mao Memorial Hall} => {Jingshan Park},0.03,0.333333333,2.222222222,3
{Chairman Mao Memorial Hall} => {Forbidden City},0.03,0.333333333,1.960784314,3
{Chairman Mao Memorial Hall} => {Tiananmen Square},0.05,0.555555556,2.645502646,5
{Houhai} => {Nanluoguxiang},0.03,0.333333333,2.083333333,3
{Houhai} => {Jingshan Park},0.03,0.333333333,2.222222222,3
{Houhai} => {Forbidden City},0.03,0.333333333,1.960784314,3
