"Species","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width"
"setosa_No.1",5.1,3.5,1.4,0.2
"setosa_No.2",4.9,3,1.4,0.2
"setosa_No.3",4.7,3.2,1.3,0.2
"setosa_No.4",4.6,3.1,1.5,0.2
"setosa_No.5",5,3.6,1.4,0.2
"setosa_No.6",5.4,3.9,1.7,0.4
"setosa_No.7",4.6,3.4,1.4,0.3
"setosa_No.8",5,3.4,1.5,0.2
"setosa_No.9",4.4,2.9,1.4,0.2
"setosa_No.10",4.9,3.1,1.5,0.1
"setosa_No.11",5.4,3.7,1.5,0.2
"setosa_No.12",4.8,3.4,1.6,0.2
"setosa_No.13",4.8,3,1.4,0.1
"setosa_No.14",4.3,3,1.1,0.1
"setosa_No.15",5.8,4,1.2,0.2
"setosa_No.16",5.7,4.4,1.5,0.4
"setosa_No.17",5.4,3.9,1.3,0.4
"setosa_No.18",5.1,3.5,1.4,0.3
"setosa_No.19",5.7,3.8,1.7,0.3
"setosa_No.20",5.1,3.8,1.5,0.3
"setosa_No.21",5.4,3.4,1.7,0.2
"setosa_No.22",5.1,3.7,1.5,0.4
"setosa_No.23",4.6,3.6,1,0.2
"setosa_No.24",5.1,3.3,1.7,0.5
"setosa_No.25",4.8,3.4,1.9,0.2
"setosa_No.26",5,3,1.6,0.2
"setosa_No.27",5,3.4,1.6,0.4
"setosa_No.28",5.2,3.5,1.5,0.2
"setosa_No.29",5.2,3.4,1.4,0.2
"setosa_No.30",4.7,3.2,1.6,0.2
"setosa_No.31",4.8,3.1,1.6,0.2
"setosa_No.32",5.4,3.4,1.5,0.4
"setosa_No.33",5.2,4.1,1.5,0.1
"setosa_No.34",5.5,4.2,1.4,0.2
"setosa_No.35",4.9,3.1,1.5,0.2
"setosa_No.36",5,3.2,1.2,0.2
"setosa_No.37",5.5,3.5,1.3,0.2
"setosa_No.38",4.9,3.6,1.4,0.1
"setosa_No.39",4.4,3,1.3,0.2
"setosa_No.40",5.1,3.4,1.5,0.2
"setosa_No.41",5,3.5,1.3,0.3
"setosa_No.42",4.5,2.3,1.3,0.3
"setosa_No.43",4.4,3.2,1.3,0.2
"setosa_No.44",5,3.5,1.6,0.6
"setosa_No.45",5.1,3.8,1.9,0.4
"setosa_No.46",4.8,3,1.4,0.3
"setosa_No.47",5.1,3.8,1.6,0.2
"setosa_No.48",4.6,3.2,1.4,0.2
"setosa_No.49",5.3,3.7,1.5,0.2
"setosa_No.50",5,3.3,1.4,0.2
"versicolor_No.51",7,3.2,4.7,1.4
"versicolor_No.52",6.4,3.2,4.5,1.5
"versicolor_No.53",6.9,3.1,4.9,1.5
"versicolor_No.54",5.5,2.3,4,1.3
"versicolor_No.55",6.5,2.8,4.6,1.5
"versicolor_No.56",5.7,2.8,4.5,1.3
"versicolor_No.57",6.3,3.3,4.7,1.6
"versicolor_No.58",4.9,2.4,3.3,1
"versicolor_No.59",6.6,2.9,4.6,1.3
"versicolor_No.60",5.2,2.7,3.9,1.4
"versicolor_No.61",5,2,3.5,1
"versicolor_No.62",5.9,3,4.2,1.5
"versicolor_No.63",6,2.2,4,1
"versicolor_No.64",6.1,2.9,4.7,1.4
"versicolor_No.65",5.6,2.9,3.6,1.3
"versicolor_No.66",6.7,3.1,4.4,1.4
"versicolor_No.67",5.6,3,4.5,1.5
"versicolor_No.68",5.8,2.7,4.1,1
"versicolor_No.69",6.2,2.2,4.5,1.5
"versicolor_No.70",5.6,2.5,3.9,1.1
"versicolor_No.71",5.9,3.2,4.8,1.8
"versicolor_No.72",6.1,2.8,4,1.3
"versicolor_No.73",6.3,2.5,4.9,1.5
"versicolor_No.74",6.1,2.8,4.7,1.2
"versicolor_No.75",6.4,2.9,4.3,1.3
"versicolor_No.76",6.6,3,4.4,1.4
"versicolor_No.77",6.8,2.8,4.8,1.4
"versicolor_No.78",6.7,3,5,1.7
"versicolor_No.79",6,2.9,4.5,1.5
"versicolor_No.80",5.7,2.6,3.5,1
"versicolor_No.81",5.5,2.4,3.8,1.1
"versicolor_No.82",5.5,2.4,3.7,1
"versicolor_No.83",5.8,2.7,3.9,1.2
"versicolor_No.84",6,2.7,5.1,1.6
"versicolor_No.85",5.4,3,4.5,1.5
"versicolor_No.86",6,3.4,4.5,1.6
"versicolor_No.87",6.7,3.1,4.7,1.5
"versicolor_No.88",6.3,2.3,4.4,1.3
"versicolor_No.89",5.6,3,4.1,1.3
"versicolor_No.90",5.5,2.5,4,1.3
"versicolor_No.91",5.5,2.6,4.4,1.2
"versicolor_No.92",6.1,3,4.6,1.4
"versicolor_No.93",5.8,2.6,4,1.2
"versicolor_No.94",5,2.3,3.3,1
"versicolor_No.95",5.6,2.7,4.2,1.3
"versicolor_No.96",5.7,3,4.2,1.2
"versicolor_No.97",5.7,2.9,4.2,1.3
"versicolor_No.98",6.2,2.9,4.3,1.3
"versicolor_No.99",5.1,2.5,3,1.1
"versicolor_No.100",5.7,2.8,4.1,1.3
"virginica_No.101",6.3,3.3,6,2.5
"virginica_No.102",5.8,2.7,5.1,1.9
"virginica_No.103",7.1,3,5.9,2.1
"virginica_No.104",6.3,2.9,5.6,1.8
"virginica_No.105",6.5,3,5.8,2.2
"virginica_No.106",7.6,3,6.6,2.1
"virginica_No.107",4.9,2.5,4.5,1.7
"virginica_No.108",7.3,2.9,6.3,1.8
"virginica_No.109",6.7,2.5,5.8,1.8
"virginica_No.110",7.2,3.6,6.1,2.5
"virginica_No.111",6.5,3.2,5.1,2
"virginica_No.112",6.4,2.7,5.3,1.9
"virginica_No.113",6.8,3,5.5,2.1
"virginica_No.114",5.7,2.5,5,2
"virginica_No.115",5.8,2.8,5.1,2.4
"virginica_No.116",6.4,3.2,5.3,2.3
"virginica_No.117",6.5,3,5.5,1.8
"virginica_No.118",7.7,3.8,6.7,2.2
"virginica_No.119",7.7,2.6,6.9,2.3
"virginica_No.120",6,2.2,5,1.5
"virginica_No.121",6.9,3.2,5.7,2.3
"virginica_No.122",5.6,2.8,4.9,2
"virginica_No.123",7.7,2.8,6.7,2
"virginica_No.124",6.3,2.7,4.9,1.8
"virginica_No.125",6.7,3.3,5.7,2.1
"virginica_No.126",7.2,3.2,6,1.8
"virginica_No.127",6.2,2.8,4.8,1.8
"virginica_No.128",6.1,3,4.9,1.8
"virginica_No.129",6.4,2.8,5.6,2.1
"virginica_No.130",7.2,3,5.8,1.6
"virginica_No.131",7.4,2.8,6.1,1.9
"virginica_No.132",7.9,3.8,6.4,2
"virginica_No.133",6.4,2.8,5.6,2.2
"virginica_No.134",6.3,2.8,5.1,1.5
"virginica_No.135",6.1,2.6,5.6,1.4
"virginica_No.136",7.7,3,6.1,2.3
"virginica_No.137",6.3,3.4,5.6,2.4
"virginica_No.138",6.4,3.1,5.5,1.8
"virginica_No.139",6,3,4.8,1.8
"virginica_No.140",6.9,3.1,5.4,2.1
"virginica_No.141",6.7,3.1,5.6,2.4
"virginica_No.142",6.9,3.1,5.1,2.3
"virginica_No.143",5.8,2.7,5.1,1.9
"virginica_No.144",6.8,3.2,5.9,2.3
"virginica_No.145",6.7,3.3,5.7,2.5
"virginica_No.146",6.7,3,5.2,2.3
"virginica_No.147",6.3,2.5,5,1.9
"virginica_No.148",6.5,3,5.2,2
"virginica_No.149",6.2,3.4,5.4,2.3
"virginica_No.150",5.9,3,5.1,1.8
