id,mpg,cyl,disp,hp,drat
Mazda RX4,21,6,160,110,3.9
Mazda RX4 Wag,21,6,160,110,3.9
Datsun 710,22.8,4,108,93,3.85
Hornet 4 Drive,21.4,6,258,110,3.08
Hornet Sportabout,18.7,8,360,175,3.15
Valiant,18.1,6,225,105,2.76
Duster 360,14.3,8,360,245,3.21
Merc 240D,24.4,4,146.7,62,3.69
Merc 230,22.8,4,140.8,95,3.92
Merc 280,19.2,6,167.6,123,3.92
Merc 280C,17.8,6,167.6,123,3.92
Merc 450SE,16.4,8,275.8,180,3.07
Merc 450SL,17.3,8,275.8,180,3.07
Merc 450SLC,15.2,8,275.8,180,3.07
Cadillac Fleetwood,10.4,8,472,205,2.93
Lincoln Continental,10.4,8,460,215,3
Chrysler Imperial,14.7,8,440,230,3.23
Fiat 128,32.4,4,78.7,66,4.08
Honda Civic,30.4,4,75.7,52,4.93
Toyota Corolla,33.9,4,71.1,65,4.22
Toyota Corona,21.5,4,120.1,97,3.7
Dodge Challenger,15.5,8,318,150,2.76
AMC Javelin,15.2,8,304,150,3.15
Camaro Z28,13.3,8,350,245,3.73
Pontiac Firebird,19.2,8,400,175,3.08
Fiat X1-9,27.3,4,79,66,4.08
Porsche 914-2,26,4,120.3,91,4.43
Lotus Europa,30.4,4,95.1,113,3.77
Ford Pantera L,15.8,8,351,264,4.22
Ferrari Dino,19.7,6,145,175,3.62
Maserati Bora,15,8,301,335,3.54
Volvo 142E,21.4,4,121,109,4.11
